Time,Signal,BPM,Emotion,,,,,,,,
10:23:19,501,73,36.66666667,,10:29:41,502,74,23.33333333,,,
10:23:20,540,74,36.66666667,,10:29:42,515,72,23.33333333,,,
10:23:21,488,76,40,,10:29:43,503,70,20,,,
10:23:22,498,76,43.33333333,,10:29:44,496,68,20,,,
10:23:23,501,74,43.33333333,,10:29:45,504,67,23.33333333,,,
10:23:24,565,72,43.33333333,,10:29:46,503,68,23.33333333,,,
10:23:25,495,72,43.33333333,,10:29:47,500,68,23.33333333,,,
10:23:26,489,73,46.66666667,,10:29:48,500,67,23.33333333,,,
10:23:27,504,74,46.66666667,,10:29:49,499,67,26.66666667,,,
10:23:28,488,74,46.66666667,,10:29:50,499,66,26.66666667,,,
10:23:29,509,74,46.66666667,,10:29:51,500,65,26.66666667,,,
10:23:30,494,73,50,,10:29:52,499,63,26.66666667,,,
10:23:31,499,73,50,,10:29:53,499,62,26.66666667,,,
10:23:32,501,73,46.66666667,,10:29:54,498,61,26.66666667,,,
10:23:33,499,72,46.66666667,,10:29:55,566,61,26.66666667,,,
10:23:34,559,70,46.66666667,,10:29:56,553,61,30,,,
10:23:35,492,70,43.33333333,,10:29:57,508,61,33.33333333,,,
10:23:36,498,70,46.66666667,,10:29:58,481,62,30,,,
10:23:37,501,69,43.33333333,,10:29:59,495,62,26.66666667,,,
10:23:38,536,71,43.33333333,,10:30:00,508,62,26.66666667,,,
10:23:39,501,72,40,,10:30:01,506,63,26.66666667,,,
10:23:40,506,72,36.66666667,,10:30:02,491,64,30,,,
10:23:41,495,71,33.33333333,,10:30:03,500,65,26.66666667,,,
10:23:42,499,72,30,,10:30:04,502,65,30,,,
10:23:43,498,72,33.33333333,,10:30:05,584,66,30,,,
10:23:44,519,71,33.33333333,,10:30:06,521,66,30,,,
10:23:45,504,70,30,,10:30:07,473,66,33.33333333,,,
10:23:46,512,69,30,,10:30:08,514,67,30,,,
10:23:47,496,69,30,,10:30:09,499,67,33.33333333,,,
10:23:48,501,69,26.66666667,,10:30:10,484,67,33.33333333,,,
10:23:49,501,69,26.66666667,,10:30:11,494,66,33.33333333,,,
10:23:50,499,69,26.66666667,,10:30:12,502,66,33.33333333,,,
